iter,reg,ninst,tpred,cpred,tcorr,ccorr,ncinst
2,0,48,{0},{0},15,15,"{0: 15, 1: 6, 2: 6, 3: 13, 4: 8}"
2,1,0,"{0,1,2,3,4}","{0,1,2,3,4}",0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
2,2,3,{2},{2},2,2,"{0: 0, 1: 0, 2: 2, 3: 0, 4: 1}"
2,3,8,{2},{2},3,3,"{0: 2, 1: 0, 2: 3, 3: 2, 4: 1}"
2,4,6,"{2,4}","{0,1,2,3,4}",2,2,"{0: 0, 1: 1, 2: 2, 3: 1, 4: 2}"
2,5,0,"{0,1,2,3,4}",{4},0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
2,6,16,{4},{1},8,5,"{0: 0, 1: 5, 2: 3, 3: 0, 4: 8}"
2,7,5,{1},"{0,1,2,3,4}",3,3,"{0: 0, 1: 3, 2: 2, 3: 0, 4: 0}"
2,8,0,"{0,1,2,3,4}","{0,1,2,3,4}",0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
2,9,0,"{0,1,2,3,4}",{1},0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
2,10,0,"{0,1,2,3,4}","{0,1,2,3,4}",0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
2,11,14,{1},"{0,1,2,3,4}",5,5,"{0: 3, 1: 5, 2: 2, 3: 4, 4: 0}"
3,0,48,{0},{0},15,15,"{0: 15, 1: 6, 2: 6, 3: 13, 4: 8}"
3,1,0,"{0,1,2,3,4}","{0,1,2,3,4}",0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0}"
3,2,3,{2},{2},2,2,"{0: 0, 1: 0, 2: 2, 3: 0, 4: 1}"
3,3,8,{2},{2},3,3,"{0: 2, 1: 0, 2: 3, 3: 2, 4: 1}"
3,4,6,"{2,4}","{0,1,2,3,4}",2,2,"{0: 0, 1: 1, 2: 2, 3: 1, 4: 2}"
