iter,error,accuracy,ms,acctmin,status,relgap,j,variable,type,group,member,desc
2,72.0,28.0,1784.458007812,0.030130367,104,27.571428571,2,PEMLR,Categorical,0,1,Employed - at work
,,,,,,,,,,,3,Unemployed - on layoff
,,,,,,,,,,,7,Not in labor force - other
,,,,,,,,,,2,5,Not in labor force - retired
,,,,,,,,,,3,0,NIU (PEMLR)
,,,,,,,,,,,2,Employed - absent
,,,,,,,,,,,4,Unemployed - looking
,,,,,,,,,,,6,Not in labor force - disabled
,,,,,,,3,SS_YN,Categorical,0,2,No
,,,,,,,,,,1,1,Yes
,,,,,,,,,,2,0,NIU (aged below 15)
3,69.0,31.0,737.746826172,0.042426147,104,22.1446041,2,PEMLR,Categorical,0,1,Employed - at work
,,,,,,,,,,,3,Unemployed - on layoff
,,,,,,,,,,,7,Not in labor force - other
,,,,,,,,,,2,5,Not in labor force - retired
,,,,,,,,,,3,0,NIU (PEMLR)
,,,,,,,,,,,2,Employed - absent
,,,,,,,,,,,4,Unemployed - looking
,,,,,,,,,,,6,Not in labor force - disabled
,,,,,,,3,SS_YN,Categorical,0,2,No
,,,,,,,,,,1,1,Yes
,,,,,,,,,,2,0,NIU (aged below 15)
4,64.0,36.0,818.462890625,0.056067196,104,17.253542263,2,PEMLR,Categorical,0,1,Employed - at work
,,,,,,,,,,,3,Unemployed - on layoff
,,,,,,,,,,,7,Not in labor force - other
,,,,,,,,,,2,5,Not in labor force - retired
,,,,,,,,,,3,0,NIU (PEMLR)
,,,,,,,,,,,2,Employed - absent
,,,,,,,,,,,4,Unemployed - looking
,,,,,,,,,,,6,Not in labor force - disabled
,,,,,,,3,SS_YN,Categorical,0,2,No
,,,,,,,,,,1,1,Yes
,,,,,,,,,,2,0,NIU (aged below 15)
5,62.0,38.0,1963.557128906,0.088793148,104,15.498276616,2,PEMLR,Categorical,0,1,Employed - at work
,,,,,,,,,,,3,Unemployed - on layoff
,,,,,,,,,,,7,Not in labor force - other
,,,,,,,,,,2,5,Not in labor force - retired
,,,,,,,,,,3,0,NIU (PEMLR)
,,,,,,,,,,,2,Employed - absent
,,,,,,,,,,,4,Unemployed - looking
,,,,,,,,,,,6,Not in labor force - disabled
,,,,,,,3,SS_YN,Categorical,0,2,No
,,,,,,,,,,1,1,Yes
,,,,,,,,,,2,0,NIU (aged below 15)
6,61.0,39.0,797862.029052734,13.386493632,104,8.670337246,2,PEMLR,Categorical,0,1,Employed - at work
,,,,,,,,,,,3,Unemployed - on layoff
,,,,,,,,,,,7,Not in labor force - other
,,,,,,,,,,1,2,Employed - absent
,,,,,,,,,,2,5,Not in labor force - retired
,,,,,,,,,,3,0,NIU (PEMLR)
,,,,,,,,,,,4,Unemployed - looking
,,,,,,,,,,,6,Not in labor force - disabled
,,,,,,,3,SS_YN,Categorical,0,2,No
,,,,,,,,,,1,1,Yes
,,,,,,,,,,2,0,NIU (aged below 15)
7,60.0,40.0,316138.007080078,18.655460417,104,8.420838875,2,PEMLR,Categorical,0,1,Employed - at work
,,,,,,,,,,,2,Employed - absent
,,,,,,,,,,,4,Unemployed - looking
,,,,,,,,,,2,0,NIU (PEMLR)
,,,,,,,,,,,3,Unemployed - on layoff
,,,,,,,,,,,6,Not in labor force - disabled
,,,,,,,,,,,7,Not in labor force - other
,,,,,,,,,,3,5,Not in labor force - retired
,,,,,,,3,SS_YN,Categorical,1,0,NIU (aged below 15)
,,,,,,,,,,,2,No
,,,,,,,,,,2,1,Yes
8,57.0,43.0,278621.473876953,23.299151648,104,7.753030625,2,PEMLR,Categorical,0,2,Employed - absent
,,,,,,,,,,1,1,Employed - at work
,,,,,,,,,,,6,Not in labor force - disabled
,,,,,,,,,,2,0,NIU (PEMLR)
,,,,,,,,,,,3,Unemployed - on layoff
,,,,,,,,,,,4,Unemployed - looking
,,,,,,,,,,,7,Not in labor force - other
,,,,,,,,,,3,5,Not in labor force - retired
,,,,,,,3,SS_YN,Categorical,0,2,No
,,,,,,,,,,2,0,NIU (aged below 15)
,,,,,,,,,,,1,Yes
9,56.0,44.0,460445.802978516,30.973248364,104,7.54415251,2,PEMLR,Categorical,0,2,Employed - absent
,,,,,,,,,,1,1,Employed - at work
,,,,,,,,,,2,0,NIU (PEMLR)
,,,,,,,,,,,3,Unemployed - on layoff
,,,,,,,,,,,4,Unemployed - looking
,,,,,,,,,,,6,Not in labor force - disabled
,,,,,,,,,,,7,Not in labor force - other
,,,,,,,,,,3,5,Not in labor force - retired
,,,,,,,3,SS_YN,Categorical,0,2,No
,,,,,,,,,,2,0,NIU (aged below 15)
,,,,,,,,,,,1,Yes
10,54.0,46.0,2233604.489990234,68.199989864,104,7.007970723,1,A_AGE,Continuous,-1,"[24.01, 40.990000001, 65.99]",NA
,,,,,,,2,PEMLR,Categorical,0,2,Employed - absent
,,,,,,,,,,1,1,Employed - at work
,,,,,,,,,,,7,Not in labor force - other
,,,,,,,,,,2,4,Unemployed - looking
,,,,,,,,,,,5,Not in labor force - retired
,,,,,,,,,,3,0,NIU (PEMLR)
,,,,,,,,,,,3,Unemployed - on layoff
,,,,,,,,,,,6,Not in labor force - disabled
11,52.0,48.0,70856.217041016,69.380926815,104,6.670653418,1,A_AGE,Continuous,-1,"[24.01, 40.99, 64.99]",NA
,,,,,,,2,PEMLR,Categorical,0,2,Employed - absent
,,,,,,,,,,1,1,Employed - at work
,,,,,,,,,,,7,Not in labor force - other
,,,,,,,,,,2,4,Unemployed - looking
,,,,,,,,,,,5,Not in labor force - retired
,,,,,,,,,,3,0,NIU (PEMLR)
,,,,,,,,,,,3,Unemployed - on layoff
,,,,,,,,,,,6,Not in labor force - disabled
12,51.0,49.0,430296.081054688,76.552528166,104,6.509700495,1,A_AGE,Continuous,-1,"[24.990000001, 40.009999998, 64.009999998]",NA
,,,,,,,2,PEMLR,Categorical,0,2,Employed - absent
,,,,,,,,,,1,1,Employed - at work
,,,,,,,,,,2,4,Unemployed - looking
,,,,,,,,,,,5,Not in labor force - retired
,,,,,,,,,,,7,Not in labor force - other
,,,,,,,,,,3,0,NIU (PEMLR)
,,,,,,,,,,,3,Unemployed - on layoff
,,,,,,,,,,,6,Not in labor force - disabled
13,50.0,50.0,139892.290039062,78.884066333,104,6.349962704,1,A_AGE,Continuous,-1,"[24.99, 55.99, 64.99]",NA
,,,,,,,2,PEMLR,Categorical,0,2,Employed - absent
,,,,,,,,,,1,1,Employed - at work
,,,,,,,,,,2,3,Unemployed - on layoff
,,,,,,,,,,,4,Unemployed - looking
,,,,,,,,,,,5,Not in labor force - retired
,,,,,,,,,,,7,Not in labor force - other
,,,,,,,,,,3,0,NIU (PEMLR)
,,,,,,,,,,,6,Not in labor force - disabled
14,49.0,51.0,188356.463867188,82.023340731,104,6.196199501,1,A_AGE,Continuous,-1,"[24.01, 55.99, 64.990000001]",NA
,,,,,,,2,PEMLR,Categorical,0,2,Employed - absent
,,,,,,,,,,1,1,Employed - at work
,,,,,,,,,,2,3,Unemployed - on layoff
,,,,,,,,,,,4,Unemployed - looking
,,,,,,,,,,,5,Not in labor force - retired
,,,,,,,,,,,7,Not in labor force - other
,,,,,,,,,,3,0,NIU (PEMLR)
,,,,,,,,,,,6,Not in labor force - disabled
15,49.0,51.0,7674316.599121094,209.928617383,111,6.083917115,1,A_AGE,Continuous,-1,"[24.01, 55.99, 64.990000001]",NA
,,,,,,,2,PEMLR,Categorical,0,2,Employed - absent
,,,,,,,,,,1,1,Employed - at work
,,,,,,,,,,2,3,Unemployed - on layoff
,,,,,,,,,,,4,Unemployed - looking
,,,,,,,,,,,5,Not in labor force - retired
,,,,,,,,,,,7,Not in labor force - other
,,,,,,,,,,3,0,NIU (PEMLR)
,,,,,,,,,,,6,Not in labor force - disabled
