iter,ordvars,strvars,reg,ordreg,crossreg,tpreds,strtpreds,ninst
2,"(2,3)","PEMLR, SS_YN",0,"(0,0)","{1,3,7} x {2}",0,NNN,48
2,"(2,3)","PEMLR, SS_YN",1,"(1,0)",{} x {2},"0,1,2,3,4","NNN, NNY, NY_, YNN, Y1Y",0
2,"(2,3)","PEMLR, SS_YN",2,"(2,0)",{5} x {2},2,NY_,3
2,"(2,3)","PEMLR, SS_YN",3,"(3,0)","{0,2,4,6} x {2}",2,NY_,8
2,"(2,3)","PEMLR, SS_YN",4,"(0,1)","{1,3,7} x {1}","2,4","NY_, Y1Y",6
2,"(2,3)","PEMLR, SS_YN",5,"(1,1)",{} x {1},"0,1,2,3,4","NNN, NNY, NY_, YNN, Y1Y",0
2,"(2,3)","PEMLR, SS_YN",6,"(2,1)",{5} x {1},4,Y1Y,16
2,"(2,3)","PEMLR, SS_YN",7,"(3,1)","{0,2,4,6} x {1}",1,NNY,5
2,"(2,3)","PEMLR, SS_YN",8,"(0,2)","{1,3,7} x {0}","0,1,2,3,4","NNN, NNY, NY_, YNN, Y1Y",0
2,"(2,3)","PEMLR, SS_YN",9,"(1,2)",{} x {0},"0,1,2,3,4","NNN, NNY, NY_, YNN, Y1Y",0
2,"(2,3)","PEMLR, SS_YN",10,"(2,2)",{5} x {0},"0,1,2,3,4","NNN, NNY, NY_, YNN, Y1Y",0
2,"(2,3)","PEMLR, SS_YN",11,"(3,2)","{0,2,4,6} x {0}",1,NNY,14
3,"(2,3)","PEMLR, SS_YN",0,"(0,0)","{1,3,7} x {2}",0,NNN,48
3,"(2,3)","PEMLR, SS_YN",1,"(1,0)",{} x {2},"0,1,2,3,4","NNN, NNY, NY_, YNN, Y1Y",0
3,"(2,3)","PEMLR, SS_YN",2,"(2,0)",{5} x {2},2,NY_,3
3,"(2,3)","PEMLR, SS_YN",3,"(3,0)","{0,2,4,6} x {2}",2,NY_,8
3,"(2,3)","PEMLR, SS_YN",4,"(0,1)","{1,3,7} x {1}","2,4","NY_, Y1Y",6
3,"(2,3)","PEMLR, SS_YN",5,"(1,1)",{} x {1},"0,1,2,3,4","NNN, NNY, NY_, YNN, Y1Y",0
3,"(2,3)","PEMLR, SS_YN",6,"(2,1)",{5} x {1},4,Y1Y,16
3,"(2,3)","PEMLR, SS_YN",7,"(3,1)","{0,2,4,6} x {1}",1,NNY,5
3,"(2,3)","PEMLR, SS_YN",8,"(0,2)","{1,3,7} x {0}","0,1,2,3,4","NNN, NNY, NY_, YNN, Y1Y",0
3,"(2,3)","PEMLR, SS_YN",9,"(1,2)",{} x {0},"0,1,2,3,4","NNN, NNY, NY_, YNN, Y1Y",0
3,"(2,3)","PEMLR, SS_YN",10,"(2,2)",{5} x {0},"0,1,2,3,4","NNN, NNY, NY_, YNN, Y1Y",0
3,"(2,3)","PEMLR, SS_YN",11,"(3,2)","{0,2,4,6} x {0}",1,NNY,14
