iter,ordvars,strvars,reg,ordreg,crossreg,tpreds,strtpreds,ninst
2,"(2,3)","PEMLR, SS_YN",0,"(0,0)","{1,3,7} x {2}",0,NNN,48
,,,1,"(1,0)",{} x {2},"0,1,2,3,4","NNN, NNY, NY_, YNN, Y1Y",0
,,,2,"(2,0)",{5} x {2},2,NY_,3
,,,3,"(3,0)","{0,2,4,6} x {2}",2,NY_,8
,,,4,"(0,1)","{1,3,7} x {1}","2,4","NY_, Y1Y",6
,,,5,"(1,1)",{} x {1},"0,1,2,3,4","NNN, NNY, NY_, YNN, Y1Y",0
,,,6,"(2,1)",{5} x {1},4,Y1Y,16
,,,7,"(3,1)","{0,2,4,6} x {1}",1,NNY,5
,,,8,"(0,2)","{1,3,7} x {0}","0,1,2,3,4","NNN, NNY, NY_, YNN, Y1Y",0
,,,9,"(1,2)",{} x {0},"0,1,2,3,4","NNN, NNY, NY_, YNN, Y1Y",0
,,,10,"(2,2)",{5} x {0},"0,1,2,3,4","NNN, NNY, NY_, YNN, Y1Y",0
,,,11,"(3,2)","{0,2,4,6} x {0}",1,NNY,14
3,"(2,3)","PEMLR, SS_YN",0,"(0,0)","{1,3,7} x {2}",0,NNN,48
,,,1,"(1,0)",{} x {2},"0,1,2,3,4","NNN, NNY, NY_, YNN, Y1Y",0
,,,2,"(2,0)",{5} x {2},2,NY_,3
,,,3,"(3,0)","{0,2,4,6} x {2}",2,NY_,8
,,,4,"(0,1)","{1,3,7} x {1}","2,4","NY_, Y1Y",6
,,,5,"(1,1)",{} x {1},"0,1,2,3,4","NNN, NNY, NY_, YNN, Y1Y",0
,,,6,"(2,1)",{5} x {1},4,Y1Y,16
,,,7,"(3,1)","{0,2,4,6} x {1}",1,NNY,5
,,,8,"(0,2)","{1,3,7} x {0}","0,1,2,3,4","NNN, NNY, NY_, YNN, Y1Y",0
,,,9,"(1,2)",{} x {0},"0,1,2,3,4","NNN, NNY, NY_, YNN, Y1Y",0
,,,10,"(2,2)",{5} x {0},"0,1,2,3,4","NNN, NNY, NY_, YNN, Y1Y",0
,,,11,"(3,2)","{0,2,4,6} x {0}",1,NNY,14
4,"(2,3)","PEMLR, SS_YN",0,"(0,0)","{1,3,7} x {2}",0,NNN,48
,,,1,"(1,0)",{} x {2},"0,1,2,3,4","NNN, NNY, NY_, YNN, Y1Y",0
,,,2,"(2,0)",{5} x {2},2,NY_,3
,,,3,"(3,0)","{0,2,4,6} x {2}",2,NY_,8
,,,4,"(0,1)","{1,3,7} x {1}","2,4","NY_, Y1Y",6
,,,5,"(1,1)",{} x {1},"0,1,2,3,4","NNN, NNY, NY_, YNN, Y1Y",0
,,,6,"(2,1)",{5} x {1},4,Y1Y,16
,,,7,"(3,1)","{0,2,4,6} x {1}",1,NNY,5
,,,8,"(0,2)","{1,3,7} x {0}","0,1,2,3,4","NNN, NNY, NY_, YNN, Y1Y",0
,,,9,"(1,2)",{} x {0},"0,1,2,3,4","NNN, NNY, NY_, YNN, Y1Y",0
,,,10,"(2,2)",{5} x {0},"0,1,2,3,4","NNN, NNY, NY_, YNN, Y1Y",0
,,,11,"(3,2)","{0,2,4,6} x {0}",1,NNY,14
5,"(2,3)","PEMLR, SS_YN",0,"(0,0)","{1,3,7} x {2}",0,NNN,48
,,,1,"(1,0)",{} x {2},"0,1,2,3,4","NNN, NNY, NY_, YNN, Y1Y",0
,,,2,"(2,0)",{5} x {2},2,NY_,3
,,,3,"(3,0)","{0,2,4,6} x {2}",2,NY_,8
,,,4,"(0,1)","{1,3,7} x {1}","2,4","NY_, Y1Y",6
,,,5,"(1,1)",{} x {1},"0,1,2,3,4","NNN, NNY, NY_, YNN, Y1Y",0
,,,6,"(2,1)",{5} x {1},4,Y1Y,16
,,,7,"(3,1)","{0,2,4,6} x {1}",1,NNY,5
,,,8,"(0,2)","{1,3,7} x {0}","0,1,2,3,4","NNN, NNY, NY_, YNN, Y1Y",0
,,,9,"(1,2)",{} x {0},"0,1,2,3,4","NNN, NNY, NY_, YNN, Y1Y",0
,,,10,"(2,2)",{5} x {0},"0,1,2,3,4","NNN, NNY, NY_, YNN, Y1Y",0
,,,11,"(3,2)","{0,2,4,6} x {0}",1,NNY,14
6,"(2,3)","PEMLR, SS_YN",0,"(0,0)","{1,3,7} x {2}",0,NNN,48
,,,1,"(1,0)",{2} x {2},2,NY_,3
,,,2,"(2,0)",{5} x {2},2,NY_,3
,,,3,"(3,0)","{0,4,6} x {2}","0,3","NNN, YNN",5
,,,4,"(0,1)","{1,3,7} x {1}","2,4","NY_, Y1Y",6
,,,5,"(1,1)",{2} x {1},2,NY_,1
,,,6,"(2,1)",{5} x {1},4,Y1Y,16
,,,7,"(3,1)","{0,4,6} x {1}",1,NNY,4
,,,8,"(0,2)","{1,3,7} x {0}","0,1,2,3,4","NNN, NNY, NY_, YNN, Y1Y",0
