iter,error,accuracy,ms,acctmin,status,relgap,j,variable,type,group,member,desc
2,72,28,1784.458007812,0.030130367,104,27.571428571,2,PEMLR,Categorical,0,1,Employed - at work
2,72,28,1784.458007812,0.030130367,104,27.571428571,2,PEMLR,Categorical,0,3,Unemployed - on layoff
2,72,28,1784.458007812,0.030130367,104,27.571428571,2,PEMLR,Categorical,0,7,Not in labor force - other
2,72,28,1784.458007812,0.030130367,104,27.571428571,2,PEMLR,Categorical,2,5,Not in labor force - retired
2,72,28,1784.458007812,0.030130367,104,27.571428571,2,PEMLR,Categorical,3,0,NIU
2,72,28,1784.458007812,0.030130367,104,27.571428571,2,PEMLR,Categorical,3,2,Employed - absent
2,72,28,1784.458007812,0.030130367,104,27.571428571,2,PEMLR,Categorical,3,4,Unemployed - looking
2,72,28,1784.458007812,0.030130367,104,27.571428571,2,PEMLR,Categorical,3,6,Not in labor force - disabled
2,72,28,1784.458007812,0.030130367,104,27.571428571,3,SS_YN,Categorical,0,2,No
2,72,28,1784.458007812,0.030130367,104,27.571428571,3,SS_YN,Categorical,1,1,Yes
2,72,28,1784.458007812,0.030130367,104,27.571428571,3,SS_YN,Categorical,2,0,Niu
3,69,31,737.746826172,0.042426147,104,22.1446041,2,PEMLR,Categorical,0,1,Employed - at work
3,69,31,737.746826172,0.042426147,104,22.1446041,2,PEMLR,Categorical,0,3,Unemployed - on layoff
3,69,31,737.746826172,0.042426147,104,22.1446041,2,PEMLR,Categorical,0,7,Not in labor force - other
3,69,31,737.746826172,0.042426147,104,22.1446041,2,PEMLR,Categorical,2,5,Not in labor force - retired
3,69,31,737.746826172,0.042426147,104,22.1446041,2,PEMLR,Categorical,3,0,NIU
3,69,31,737.746826172,0.042426147,104,22.1446041,2,PEMLR,Categorical,3,2,Employed - absent
3,69,31,737.746826172,0.042426147,104,22.1446041,2,PEMLR,Categorical,3,4,Unemployed - looking
3,69,31,737.746826172,0.042426147,104,22.1446041,2,PEMLR,Categorical,3,6,Not in labor force - disabled
3,69,31,737.746826172,0.042426147,104,22.1446041,3,SS_YN,Categorical,0,2,No
3,69,31,737.746826172,0.042426147,104,22.1446041,3,SS_YN,Categorical,1,1,Yes
3,69,31,737.746826172,0.042426147,104,22.1446041,3,SS_YN,Categorical,2,0,Niu
4,64,36,818.462890625,0.056067196,104,17.253542263,2,PEMLR,Categorical,0,1,Employed - at work
4,64,36,818.462890625,0.056067196,104,17.253542263,2,PEMLR,Categorical,0,3,Unemployed - on layoff
4,64,36,818.462890625,0.056067196,104,17.253542263,2,PEMLR,Categorical,0,7,Not in labor force - other
4,64,36,818.462890625,0.056067196,104,17.253542263,2,PEMLR,Categorical,2,5,Not in labor force - retired
4,64,36,818.462890625,0.056067196,104,17.253542263,2,PEMLR,Categorical,3,0,NIU
4,64,36,818.462890625,0.056067196,104,17.253542263,2,PEMLR,Categorical,3,2,Employed - absent
4,64,36,818.462890625,0.056067196,104,17.253542263,2,PEMLR,Categorical,3,4,Unemployed - looking
4,64,36,818.462890625,0.056067196,104,17.253542263,2,PEMLR,Categorical,3,6,Not in labor force - disabled
4,64,36,818.462890625,0.056067196,104,17.253542263,3,SS_YN,Categorical,0,2,No
4,64,36,818.462890625,0.056067196,104,17.253542263,3,SS_YN,Categorical,1,1,Yes
4,64,36,818.462890625,0.056067196,104,17.253542263,3,SS_YN,Categorical,2,0,Niu
5,62,38,1963.557128906,0.088793148,104,15.498276616,2,PEMLR,Categorical,0,1,Employed - at work
5,62,38,1963.557128906,0.088793148,104,15.498276616,2,PEMLR,Categorical,0,3,Unemployed - on layoff
5,62,38,1963.557128906,0.088793148,104,15.498276616,2,PEMLR,Categorical,0,7,Not in labor force - other
5,62,38,1963.557128906,0.088793148,104,15.498276616,2,PEMLR,Categorical,2,5,Not in labor force - retired
5,62,38,1963.557128906,0.088793148,104,15.498276616,2,PEMLR,Categorical,3,0,NIU
5,62,38,1963.557128906,0.088793148,104,15.498276616,2,PEMLR,Categorical,3,2,Employed - absent
5,62,38,1963.557128906,0.088793148,104,15.498276616,2,PEMLR,Categorical,3,4,Unemployed - looking
5,62,38,1963.557128906,0.088793148,104,15.498276616,2,PEMLR,Categorical,3,6,Not in labor force - disabled
5,62,38,1963.557128906,0.088793148,104,15.498276616,3,SS_YN,Categorical,0,2,No
5,62,38,1963.557128906,0.088793148,104,15.498276616,3,SS_YN,Categorical,1,1,Yes
5,62,38,1963.557128906,0.088793148,104,15.498276616,3,SS_YN,Categorical,2,0,Niu
6,61,39,797862.029052734,13.386493632,104,8.670337246,2,PEMLR,Categorical,0,1,Employed - at work
